discription,name_author,picture,price,rattings,role,sub_title,tag_product,title,type_product,url
,Kaiu Shirai,,11.55,2419.0,"Author,",Kindle & comiXology,,"The Promised Neverland, Vol. 6: B06-32",Comics & Graphic Novels,https://www.amazon.com.au//Promised-Neverland-Vol-B06-32-ebook/dp/B07HBFDNHR/ref=sr_1_48?qid=1690094880&s=books&sr=1-48
"""The original manga that became a legendary anime franchise, now in a complete collectors box set. Includes three large-sized hardcover volumes, plus a collectible lithograph by creator Shirow Masamune."", ""The original manga that became a legendary anime franchise, now in a complete collectors box set. Includes three large-sized hardcover volumes, plus a collectible lithograph by creator Shirow Masamune."", Deep into the twenty-first century, the line between man and machine has been blurred as humans rely on the enhancement of mechanical implants and robots are upgraded with human tissue. In this rapidly converging landscape, cyborg superagent Major Motoko Kusanagi is charged to track down the craftiest and most dangerous terrorists and cybercriminals, including ""ghost hackers"" who are capable of exploiting the human/machine interface and reprogramming humans to become puppets to carry out the hackers\ criminal ends.",Masamune Shirow,,,862.0,Author,Hardcover – 19 December 2017,,The Ghost in the Shell Deluxe Complete Box Set,Manga,https://www.amazon.com.au//Ghost-Shell-Deluxe-Complete-Box/dp/1632366428/ref=sr_1_64?qid=1690094881&s=books&sr=1-64
"Dive feet-first into the world of devil-fighting firefighters with this 3-in-1 omnibus edition of the hit manga from the creator of , Soul Eater, ! Blaze past the anime, 600 large-sized pages at a time.,  , Includes Vol. 13-15 of the , Fire Force,  manga., ""In the year 198 of the Age of the Sun, Tokyo is a crowded cosmopolis. But the worlds most populous city is threatened by devils that cause people to burst into flame at random! The only ones who can stop it are the Pyrofighters, a team of specialized firefighters. The young Shinra, blessed with the ability to ignite his feet and travel at the speed of a rocket, wants nothing more than to be a hero, and knows that this is the place for him! But hes not the best at following orders...""",Atsushi Ohkubo,,,,Author,Paperback – 24 October 2023,,Fire Force Omnibus 5 (Vol. 13-15),Manga,https://www.amazon.com.au//Fire-Force-Omnibus-Vol-13-15/dp/164651551X/ref=sr_1_176?qid=1690094898&s=books&sr=1-176
"It’s just an everyday apocalypse., Three years ago the aliens invaded Tokyo., Nothing was ever the same again., But after a while, even impending doom starts to feel ordinary.\xa0, Now that it’s totally legal for civilians to kill Invaders, private companies have been rushing to prove their worth in the containment efforts, and their confirmed kill rates are starting to rival those of the SDF! But there are signs of trouble with the mother ship, and perhaps the Invaders are getting tired of this one-sided slaughter., Meanwhile, Ontan has found an Invader in a human suit and is keeping him at Kadode’s apartment. He’s a bit strange as housemates go, but at least things between Kadode and Mr. Watarase seem to be heating up!",Inio Asano,,17.7,159.0,Author,Paperback – 10 May 2019,,"Dead Dead Demon's Dededede Destruction, Vol. 5 (Volume 5)",Manga,https://www.amazon.com.au//Dead-Demons-Dededede-Destruction-Vol/dp/1421599600/ref=sr_1_175?qid=1690094898&s=books&sr=1-175
"In this postapocalyptic fantasy, a sea of sand swallows everything but the past., In an endless sea of sand drifts the Mud Whale, a floating island city of clay and magic. In its chambers a small community clings to survival, cut off from its own history by the shadows of the past., Chakuro and the people of the Mud Whale believe they have found a new home, safe from the ravaging effects of thymia and the threat of the empire. But when calamity follows close on their heels and dark omens gather on the green fields of Kivotós, they learn that when you can’t escape fate, your only choice is to face it.",Abi Umeda,,14.62,14.0,Author,Paperback – 4 May 2022,,"Children of the Whales, Vol. 19 (Volume 19)",Manga,https://www.amazon.com.au//Children-Whales-Vol-19/dp/1974728528/ref=sr_1_237?qid=1690094924&s=books&sr=1-237
"Terrifying revelations, desperate struggles, and broken friendships relentlessly buffet the Survey Corps soldiers as the Attack on Titan manga enters a new chapter, corresponding to the second season of the anime! Box set includes Vols. 9-12., Terrifying revelations, desperate struggles, and broken friendships relentlessly buffet the Survey Corps soldiers as the Attack on Titan manga enters a new chapter, corresponding to the second season of the anime! Box set includes Vols. 9-12, plus an EXCLUSIVE colossal reversible poster!, ""Eren is still resting from his brutal fight with the female Titan, when word reaches the interior that the impossible has happened- Wall Rose itself has been breached, and Titans are pouring through the gap! The emergency casts new urgency over Armin and Hanges questions about how the Walls were built, and what humanity can do to restore them...""",HAJIME ISAYAMA,,,1809.0,Author,"Paperback – Box set, 31 July 2018",,Attack on Titan Season 2 Manga Box Set,Manga,https://www.amazon.com.au//Attack-Titan-Season-Manga-Box/dp/1632367017/ref=sr_1_112?qid=1690094918&s=books&sr=1-112
,Takashi Okazaki,,25.4,52.0,"Author, Illustrator",Paperback – 1 February 2023,,Afro Samurai Vol.1,Manga,https://www.amazon.com.au//Afro-Samurai-Vol-1-Takashi-Okazaki/dp/1787739007/ref=sr_1_239?qid=1690094924&s=books&sr=1-239
"FINAL VOLUME, A prequel series to the number one bestseller , Attack on Titan, . Humanity has learned to live in complacency behind its high walls, protected from the giant Titans. But when a Titan-worshipping cult opens one of the gates, a Titan wreaks havoc, consuming the cultists. After the rampage is over, two young Survey Corps members are shocked to discover a pregnant woman\s partially digested corpse-with her baby still alive inside it! What will the fate of this ""child of the Titans"" be? And how will humanity learn to cope with the Titan threat?",HAJIME ISAYAMA,,17.7,607.0,Author,Paperback – 28 February 2017,,Attack on Titan Lost Girls The Manga 2: Lost Girls The Manga 2,Literature & Fiction,https://www.amazon.com.au//Attack-Titan-Lost-Girls-Manga/dp/1632364182/ref=sr_1_236?qid=1690094924&s=books&sr=1-236
"Contains Vol. 21-25 of Attack on Titan in an extra-large size, on premium-quality paper!, Contains Vol. 21-25 of Attack on Titan in an extra-large size, on premium-quality paper!, 16 and up., Attack on Titan- Colossal Edition 5,  is an oversized collection of Vols. 21-25 of the , Attack on Titan, "" manga series. Weighing in at over 900 pages and a 7-inch by 10.5-inch trim, Colossal Edition 5, like its predecessors, contains the same material as the original volumes, but bigger and on higher-quality paper. The best reading experience and the ultimate collectors item for any "", Attack on Titan,  fan!",HAJIME ISAYAMA,,,814.0,Author,Paperback – 5 January 2021,,Attack on Titan Colossal Edition 5,Manga,https://www.amazon.com.au//Attack-Titan-Colossal-HAJIME-ISAYAMA/dp/1632366568/ref=sr_1_240?qid=1690094924&s=books&sr=1-240
"As society rises from the ashes of war, cybernetically augmented arena fighters battle for fame and fortune…or die trying., It’s the 19th century, and the world has entered the Era of Rebirth, recovering from the devastating flames of war. The sport of mechanical martial arts has galvanized the nations. Cybernetically augmented fighters turn their blood into steam and their bodies into brutal fighting—and killing—machines.,  , Young Levius is one of those arena battlers, hell-bent on winning in order to simply survive.",Haruhisa Nakata,,38.5,197.0,Author,"Hardcover – Illustrated, 10 October 2019",,Levius (Volume 1),Literature & Fiction,https://www.amazon.com.au//Levius-Haruhisa-Nakata/dp/1974705021/ref=sr_1_286?qid=1690094971&s=books&sr=1-286
