content,picture,title,url
"BRITISH holidaymakers have been warned of increased fines in Spain if they are caught drinking in the street as part of a crackdown on uncivil behaviour. Barcelona city hall chiefs have raised the fine for street boozing to a maximum of £520. The sanction for going to the toilet where you shouldn’t has jumped from £170 to a whopping £260. The fines for graffitiing public buildings has also gone up - from £260 to £430. The new penalties came into force last week following a council announcement a fortnight ago. Barcelona’s Deputy Mayor for Security Albert Battle said fines were being increased to stamp out the sensation of “impunity.” He added: “Our priority is to bring order to everything that happens in public spaces. “Following the COVID pandemic , public spaces are being used more intensively and this has had consequences we need to deal with. “The objectives of our maintenance plans revolve around guaranteeing civility in the city by increasing the financial sanctions for uncivil practices.” Barcelona brought its new fines regime into force as another Spanish council warned it would hit locals and holidaymakers in their pocket if they bought items off unlicensed street sellers. Town hall chiefs in Torrevieja on the Costa Blanca announced an information campaign about its fines of £172 for people purchasing goods from so-called ""looky looky"" men. A spokesman said it was felt important issues relating to demand as well as supply should be targeted. He added: “Part of this campaign is about informing citizens, and especially tourists, who may not be aware of the fines.” The latest crackdown comes as Brits heading to Spain were warned of a simple mistake which could land them with a £170 fine. Cops are said to be keeping their eyes peeled for tourists who lack one thing in particular while behind the wheel - and it's not what you'd think. Brits are being warned to not strip off in the heat, as driving topless could see them slapped with a fine. Majorca Daily Bulletin reported that while being shirtless isn't illegal, Spanish law bans anything that impacts safe driving .","https://www.thesun.co.uk/wp-content/uploads/2023/08/today-second-saturday-without-state-837526727.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/crowd-enjoys-saturday-night-drinks-837526705.jpg",Holiday warning as Brits face £500 fine for rowdy behaviour in Barcelona in latest crackdown on tourists,https://www.thesun.co.uk/news/23461305/holiday-warning-spain-fines-behaviour-barcelona/
"A FORMER Russian spy who trained at the same KGB school as Putin has revealed how he was interrogated by the ""sadistic"" dictator. Sergei Jirnov worked for Russia 's secret service for seven years - until he was forced into exile in France in 2001 where he became a refugee. Born in 1961 in Moscow , Jirnov joined the KGB in 1984. Like Putin , he is an alumnus of the Red Flag Institute, a secret KGB school that trains the intelligence elite. But the former spy had met Putin four years before in 1980 while he was a volunteer at the Moscow Olympic Games - and gained a unique insight into his twisted mind. Jirnov was interrogated by the Russian dictator after he spoke on the phone to a French citizen requesting information about the sporting event. Putin suspected Jirnov was a spy for France - and grilled him about his connections. And Jirnov said the Russian leader took a ""strange pleasure"" in the interrogation. During the tense interrogation, Putin thought he caught him out when he referenced a banned book. But Jirnov revealed he had been gifted the book by the family of Leonid Brejnev - leaving fearful Putin with no choice but to let him go or risk the wrath of Soviet leadership. ""Andrei was a good friend of mine and a faculty colleague. Putin was stunned at that moment and let me go,"" he said. Jirnov revealed that Putin was a ""jealous"" KGB officer who ""adored power"". ""In 1980, Putin was a person who adored power,"" he said. ""When he interrogated me, I felt a strange pleasure of him. He had a sadistic pleasure when interrogating people. ""I also felt a jealousy from him regarding the persons who are better than him. And this jealousy increased over the years."" And Jirnov now believes Putin could face the same fate as Romanian dictator Nicolae Ceaușescu - who was overthrown and executed by a firing squad in a revolution in 1989. A lightning mutiny by Russia’s Wagner Group mercenaries exposed cracks in Putin's increasingly weak grip on power . It's thought Putin may have a leadership crisis on his hands - with plenty of wolves waiting in the wings and willing to claw their way to power. ""I think Putin is the person the most detested by the Russian elites, because the war he started will be lost,"" the former spy said. ""And this war has brought huge losses for Russia . ""The removal from power of Putin is the only solution, although it actually seems impossible. ""But remember that the removal of the Romanian dictator Ceausescu also seemed impossible until 1989. ""I think Putin could have the same fate as Nicolae Ceausescu. ""When Russia loses the war, the country will dismantle like the Soviet Union."" The former KGB spy met Putin for the final time in 1990, while he was on mission accompanying the French composer Pierre Boulez. The two met at a reception - but Putin did not tell speak to him. Revealing the inner workings of his mind, Jirnov said Putin thinks of himself as a god - and wants to ""become eternal"". This, he said, has made the dicatator a sociopath with no empathy. Jirnov told L'Echo : ""He read almost nothing in his life, except children's fairy tales when he was 6 years old, which he still often refers to today. ""He's a street child, he was beaten, maybe abused. He learned cruel things. He had no physical strength, that's why he learned trickery. ""After 23 years in power, Putin began to think of himself as a god. ""His entourage told him what he wanted to hear and distilled bad information. ""He wants to become eternal, which pushes him towards mystical things. ""I'm Russian, and I say Putin is killing Russia. He's a sociopath. He has no empathy. He's not rational anymore."" It comes after The Sun interviewed another former spy who trained at the same top military academy as Putin. Aliia Roza, 38, now a life coach, said Putin ""brainwashed"" the Russian population using techniques that the KGB instils ""in your DNA "". The mum-of-one believes Putin’s spy training is responsible for his rise to power - and underneath his infamous strongman image is a manipulative and intimidating operator. And his ruthless spy techniques have persisted as he tries to maintain his rule during Russia's most unstable period.","https://www.thesun.co.uk/wp-content/uploads/2023/08/Sergei-Jirnov-in-KGB-personal-archive.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/Sergei-Jirnov-in-KGB-01-personal-archive.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/Sergei-Jirnov-KGB-ID-Credit-personal-archive-1.png,https://www.thesun.co.uk/wp-content/uploads/2023/08/92ba1ca4-b6d0-4634-b6e3-4453dfe95b4b.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/1e106801-d874-4c8d-aeec-1a3866f03788.jpg",I’m an ex-KGB spy who was interrogated by Putin…I know how his sadistic mind works and the gruesome fate that awaits him,https://www.thesun.co.uk/news/23402986/former-kgb-spy-putin-sadistic-mind-overthrown-killed/
"A ""SEX SLAVE"" held in captivity for 14 years was subjected to a vile crucifixion-like torture when her jailer left home . Sinister new footage has shown the damp, cockroach-infected hell where Ekaterina Belyankina, now 33, was held since the age of 19 before escaping last week. Vladimir Cheskidov, 51, has been remanded in custody for two months by a judge pending further investigations into his alleged crimes. When he went out, Ekaterina - known as Katya - had been forced to lie on the floor, wearing a homemade wooden head and neck noose, so she could not escape. Her arms and legs were tethered to metal brackets fixed to chipboard in a crucifixion position, and her mouth was taped so she could not call for help. Russian state television said: “It was impossible to escape from this trap as the sadist invented a special device where he placed the woman during his absence."" An investigator stated: ""Cheskidov [the suspect] used two sheets of chipboard with metallic staples to harness Ekaterina’s limbs. “He placed wooden noose on her head [and neck], then he taped her face and mouth so that she could not call for help.” The maniac is accused of raping her “thousands of times” and keeping her in a cramped room behind two locked doors, one of them iron. He is also suspected of the murder of another woman named Oksana at his house in 2010 or 2011. Oksana's dismembered bones were found at his premises in Smolino village, Chelyabinsk region, it is alleged. The bones were found in a “saucepan”, and Ekaterina also revealed she had witnessed the other woman being killed in a barn owned by Cheskidov, and had been threatened with the same fate if she disobeyed him. Ekaterina finally escaped from her incarceration last week, after 14 years when the “sadist” got drunk. In the horrifying room where she was kept, tacky pornographic pictures were plastered on the wall. Children’s dolls were found and earlier it was revealed investigators took away multiple sex toys used to torture her. His mother Valentina, 72, who lived at the same house, faces a charge of kidnapping, which could see her jailed for 15 years. Ekaterina - known as Katya - was forced to cook for the mother and play chess with her kidnapper, as well as have sex with him. In court , Cheskidov said his relationship with Ekaterina was one of “love”. His mother claimed: “She joined my son and lived like a queen… No-one kept her.” She insisted: “Katya lived [with us] on her own free will. All the women are drawn to him. He is a non-drinker, non-smoker, and positive. Everyone needs such men. A workaholic."" He faces life in a grim Russian penal colony if convicted of the alleged crimes.","https://www.thesun.co.uk/wp-content/uploads/2023/08/sex-slave-ekaterina-belyankina-33-836810058.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/russian-man-vladimir-cheskidov-51-836014006.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/sex-slave-ekaterina-belyankina-33-836810110.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/sex-slave-ekaterina-belyankina-33-836810196.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/ekaterina-belyankina-now-33-fled-836809958.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/ekaterina-belyankina-now-33-fled-836809971.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/sex-slave-ekaterina-belyankina-33-836810105.jpg",‘Sex slave’ was tortured with sick ‘crucifixion device’ by monster as she was held for 14 years in grim dungeon,https://www.thesun.co.uk/news/23397167/crucifixion-device-russia-sex-slave-crime-jailer-torture/
"A TEENAGER was killed and another critically injured after they fell from a high-speed ride at an amusement park on Sunday. The tragedy occurred in the popular resort town of Cap d’Agde on France's southern coast after suspected strong winds rocked the ride at Luna Park and the two victims fell 180ft. Local prosecutor Raphael Balland said: ""Two people were victims of an accident while using the Adrenaline attraction. ""An adolescent aged 17 died of his injuries and a young woman of 19 was taken to hospital at Montpellier as an absolute emergency (case)."" Balland said that the teenagers struck obstacles as they plunged from the cable swing ride, which is believed to reach speeds of 70mph. The 17-year-old boy was pronounced dead at the scene, while the 19-year-old woman is in critical condition in hospital after suffering multiple traumas. The park closed on Sunday morning following the accident. An investigation has been opened and four people, including the theme park manager, were taken into custody to be questioned by police. They have since been released as the investigation continues. Cap d'Adge mayor Gilles d'Ettore said that Saturday night had been very windy, which was ""very rare for Agde"". He indicated that the strong gusts could have allegedly caused the accident. Prosecutors will be seeking to determine whether the rides should have been operating during the alleged high winds and whether there was a mechanical failure. The ""Adrenaline"" attraction involves passengers strapping into harnesses and being winched 180ft into the air. They are then released to swing on the cable at high-speeds. Witnesses told local media sources that the cable had deviated from its usual path, which led to the riders allegedly hitting the metal pylon that holds the attraction up and then being ejected from their harnesses. The investigation is ongoing. Local news outlet, Midi Libre, reported that a man received stitches in hospital after grazing his head on the ground after riding on ""Adrenaline"" in 2019. In 2015 at the same park, a young couple were thrown from a slingshot ride when it snapped mid-air. They were left hanging on the ride for over an hour as firefighters worked to rescue them. The woman reportedly suffered a broken leg, while her partner walked away only bruised.","https://www.thesun.co.uk/wp-content/uploads/2023/08/af0062c6-a938-4ffb-b5d2-02c2f0fd3565.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/teen-17-killed-theme-park-836573614.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/teen-17-killed-theme-park-836573615.jpg","Luna Park – Teen, 17, killed on theme park ride ‘Adrenaline’ after ‘being thrown from 70mph cable swing in high winds’",https://www.thesun.co.uk/news/23373339/teen-killed-theme-park-france/
"A BRITISH man has been seriously injured in a fatal stabbing in the Costa Blanca town of Torrevieja. The 40-year-old was rushed to hospital with head injuries and a knife wound to his abdomen. A Dutch man of the same age died in the incident, which is under police investigation, and a Finnish man aged 48 was left fighting for his life. Neighbours sounded the alarm around 3am on Saturday morning after hearing shouting coming from a semi-detached house at a residential estate called Torreta III on the outskirts of Torrevieja. The Dutch victim, initially confused for another Brit, is understood to have received several stab wounds which affected his vital organs. He was already dead by the time emergency responders arrived and stabilised the two injured men before getting them to the hospital. Police in Alicante confirmed this morning that the British man remains in serious condition following the attack. A spokesman for the Civil Guard said: “Investigators are waiting to see whether their conditions improve so they can question them about their level of involvement in the altercation if and when they can be discharged from hospital. The Civil Guard has opened an ongoing investigation into the incident and claimed an inspection of the property has already been conducted to obtain evidence and help officers clarify what happened. The violent attack saw a number of knives and a hammer reportedly used as weapons. The Finnish man, who was admitted to a hospital intensive care unit, is understood to live at the property where the deadly fight occurred and initial reports point to the possibility he caused the Dutch man's death. The other two men had called round for reasons which police have to elaborate on. The residential area the homicide occurred once featured heavily in a Spanish prime-time television game show in which contestants competed for money and other prizes. La Torreta was the estate picked by the show, called ""Un, dos, tres..responda otra vez"" in Spanish, to gift winners' houses. It was the first television show format exported outside Spain, with versions aired in the UK as well as Portugal and the Netherlands . The economic crisis of 2008 led to many residents falling behind on their mortgage payments and squatters moving in to occupy properties seized by banks. The Civil Guard has yet to formally comment on Saturday morning’s incident but is expected to make a statement as and when the two survivors are well enough to be questioned. This comes after a Brit woman was found dead in a Costa Blanca apartment as her husband was arrested while attempting to flee the scene. The 64-year-old was found with stab wounds in Orihuela Costa, south of Alicante at around 4am on March 26. And in 2018, two Brits were stabbed outside a bar in the Costa Blanca resort of Torrevieja after they fell into an argument with two Romanians. The injured Brits were rushed to Torrevieja Hospital where they were found to be suffering from severe but not life-threatening injuries.",https://www.thesun.co.uk/wp-content/uploads/2023/08/fk9r2d-cityscape-torrevieja-alicante-province-500827680.jpg,Brit seriously injured in horror stabbing that left Dutch man dead in Costa Blanca knife rampage,https://www.thesun.co.uk/news/23373421/brit-seriously-injured-deadly-stabbing-spain-knife-rampage/
"A UKRAINIAN mum who survived a suspected assassination attempt has posed for the cover of Playboy. TV presenter Iryna Bilotserkovets can be seen wearing a metal bikini and eye patch after reconstructive surgery rebuilt her face. The model, whose husband is an aide to Kyiv 's mayor Vitali Klitschko, was struck by bullets whilst driving home through the capital with her three children last year. The incident, which took place on February 26, 2022 - just three days after Russia invaded Ukraine - resulted in her undergoing months of emergency treatment and reconstructive surgery in Berlin. Yet despite doctors in Ukraine saying she was “probably going to die”, the mum defied the odds and has since become a symbol of resistance in her home country. She has now appeared on the front of the first Playboy edition to be printed in the country since Vladimir Putin 's war broke out. Speaking to the magazine about seeing herself in the mirror for the first time after treatment, she said: ""An eye missing, tubes sticking out everywhere, hair shaved off from surgery. ""Stitches, scars, wounds everywhere; I was just Frankenstein's monster. My jaw had shattered, like a twig. ""I no longer have a pretty face, but the rest of my body is beautiful."" Ms Bilotserkovets said she was left with a missing eye, a broken jaw, and scars over her body and had to undergo four operations. But she admits that staying alive was most important than prioritising the way she would look. She added: ""It was not a question of preserving my beauty; it was a question of whether I would live or not."" Playboy Ukraine said that the model, who now works with Ukraine's cultural forces to put on events for troops, was a heroine in its 'Women Stay Strong' edition - the first to be printed in more than 18 months. The magazine looks at the ""resilience of Ukrainian women who have been injured during the war but who have not lost their thirst for life"". Playboy confirmed that proceeds from sales will be donated to emergency medical equipment for the Ukrainian army. After Putin invaded Ukraine, the publisher stopped running its magazine edition and solely operated online. This month’s is the first version to be printed since the start of last year.","https://www.thesun.co.uk/wp-content/uploads/2023/08/www-dailymail-co-uk-news-836000790-2.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/battle-beauty-ukrainian-mum-survived-835999828.jpg",Ukrainian mum who survived assassination attempt poses for Playboy after reconstructive surgery rebuilt her face,https://www.thesun.co.uk/news/23343462/ukrainian-mum-survived-assassination-playboy/
"CIVIL war is breaking out across the Med as sunstarved Brits battle each other for the best spots by pools and beaches. British tourists in popular destinations such as Spain , the Balearic Islands and Turkey are going to extreme measures to bag the best sun loungers. They include queuing from 5.30am to wait for pool areas to open hours later, and heading to beaches at the crack of dawn to reserve areas with towels. Sun readers have even caught fellow countrymen and women claiming sun loungers at 11.30pm the night before to ensure they have a prime location to catch some rays. Care worker Jo Hillyard, 48, described her trip to Turkey as the “worst holiday we have been on” because of inconsiderate Brits. Pictures taken at her hotel in Oludeniz show rows of sunbeds near the pool with towels on to reserve them — before midnight. By 3.30pm the next day, all the loungers were claimed with towels — but only half were being used. Jo spent nine days at the family -friendly Katre Hotel in the resort but was unable to get sunbeds near the pool for any of her stay. Instead she was forced to spend £20 each day on sunbeds on the nearby beach with husband Simon, 50, and sons Callum, 20, and JJ, 14 because of the sun lounger hoggers. Jo said: “It’s shocking. The only time you can get a bed is if you’re lucky enough when someone goes home. ""It’s the worst hotel I have been to by far. It’s British and Turkish tourists here but it is mainly the British who are hogging all the beds. “People put their towels out by 11.30pm for the following day. For our entire holiday we have not been able to get a bed near the pool like my children want.” HAVE you spotted any inconsiderate sunbed hoggers while on holiday this year? Get in touch on WhatsApp on 07423 720250 or email exclusive@the-sun.co.uk When contacted by The Sun, the hotel said they had put up a notice asking guests not to place towels on the beds. But even fleet-footed former Aston Villa striker Gabriel Agbonlahor, 36, admitted he had raced down early in the morning to bag the best beds. Agbonlahor, who was on holiday on the Spanish island of Majorca last week, said: “I’m guilty, I’ve done it. ""I did it last week, I went down early doors. I was down at 7am, two towels down, baseball cap down, suntan cream bag down. “You have to, otherwise you won’t get a seat. If everyone else is doing it, you’ve got to do it.” In the Costa del Sol resort of Torremolinos, Brits have been filmed running to grab sunbeds when the gates to the pool area were opened. And in Tenerife , dad-of-two Matthew Vine, 46, was stunned when he spotted sunseekers claiming beds at 6.30am — three and a half hours before the pool opened. Some were seen dragging beds from where they had been chained up to reserve their perfect spot. Matthew, from Wetherby, West Yorks , said it was a daily occurrence on his family’s two-week break. He added: “I think they see one do it and panic sets in — suddenly they’re all doing it.” A representative from Matthew’s hotel, the Globales Suneo Tamaimo Tropical in Puerto De Santiago, said: “It is forbidden to reserve sunbeds in all our hotels . ""It is verbally indicated to guests when checking in, and in the sunbathing areas it is also indicated with signs. “We are doing our best, including chaining sunbeds so that people do not come to book sunbeds at unseemly hours despite the fact that we have enough sunbeds. “This is not a problem unique to our hotel, but is repeated in many hotels. ""We are looking for solutions to this problem that do not cause even bigger problems, although all this would not be necessary if people took heed of our indications.”","https://www.thesun.co.uk/wp-content/uploads/2023/08/2023-tourists-many-uk-queue-835475354.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/early-bird-catches-worm-say-833848414.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/c7b0450c-ae47-45c6-aecf-1986fdad73eb.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/sunbed-madness-holidaymakers-sprint-nab-835467074.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/hoilday-9-days-able-get-835637572.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/bull-run-hilarious-moment-desperate-832703054-1.jpg",Sunbed ‘civil war’ breaks out across Med as sun-starved Brits battle each other for best spots from 5am,https://www.thesun.co.uk/news/23314206/brits-sunbed-battles-mediterranean-holidays/
"A FURIOUS women got creative in her revenge on a nightmare neighbour who complained that a gazebo was blocking her view. Beatrix, from the US , stood up to the moaning neighbour by erecting something hilarious right in front of her house. In the TikTok , Beatrix slams her neighbour as a ""Trump-er"" who likes to mess in other people's business. ""In today's episode of neighbour drama or wars, this beautiful gazebo was erected a week or two ago,"" she said in the video, which has been liked almost half a million times. ""And one of the neighbours keeps calling and saying its blocking her water view - not that she bought a house on the water or it should be any of her business."" Belatrix explained that the Karen-like woman always gave her other neighbours ""trouble"". ""I had to show her,"" she said. ""I don't like it when you mess with my friends."" Her revenge? A giant, creepy Halloween ghost decoration lined up exactly in front of her home's view of the lake. ""How's your view now b****?"" she laughed. Thousands of TikTokers rushed to the comments to share their love for the women's genius actions. ""Too bad you can't find an inflatable middle finger,"" one joked. Another wrote: ""Thank you for protecting the girls."" ""This level of petty is just write,"" a third said. A fourth offered: ""Great job!!!! I'd love you for a neighbour."" It comes as a homeowner filmed the moment his ""petty Karen"" neighbour took his privacy fence down with a chainsaw. Outraged TikTok viewers suggested the man to get the chopped off fence replaced with an even higher one. Elsewhere, another a man has revealed how he took amazing revenge on his petty neighbour who put up a fence just to separate their rubbish bins. Meanwhile, an angry woman fed-up with her male neighbours taking her parking spot made it clear that she wasn't to be messed with. Nad Imz, from the US , filmed the moment she took one of her serial parking spot thieves out into the rain for a telling off over his selfish actions.","https://www.thesun.co.uk/wp-content/uploads/2023/08/e7d59fcc-ba0f-4661-9541-a1e22c285683.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/e8536bd0-79d2-4ce1-ba49-08337fac10bf.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/neigh3.png",I got my own back on nightmare neighbours complaining gazebo was blocking her view – people think my idea is genius,https://www.thesun.co.uk/news/23287255/nightmare-neighbours-gazebo-blocked-view-genius-revenge/
"A GROUP of female rubbish collectors were left stunned after scooping a whopping 100 million rupees on the Kerala lottery. Eleven workers pooled their money to buy a 250-rupee lottery ticket in Parappanangad in the Malappuram district back in June. But were overjoyed after being told they'd won a life-changing amount that will be now shared between them - a huge 6.3 million rupees each. The women make just 250 rupees a day collecting non-biodegradable rubbish from households  - which is barely enough to make ends meet. Most have been forced to borrow cash or take out loans to fund their children's education. The group often pooled money together for lottery tickets - putting in small amounts each. But last month, the group decided to buy a 250 rupee ticket for the monsoon bumper prize lottery. One of the winners Kuttimalu, 72, didn't initially have enough cash to contribute - but another member of the group offered to put in 12.5 rupees for her. The two both added 12.5 rupees each and agreed to share any prize money, while the rest of the group put forward 25 rupees each. Kuttimalu told the BBC: ""We didn't expect to win such a huge amount of money!"" Another winner, Radha said: ""This is the fourth time we bought a ticket for the bumper prize. ""We are fourth time lucky!"" The eleven workers only found out they had won the day after the draw - when one of the women's husbands checked the winning numbers. Cherumannil Baby said she would use the winnings to build a new house after her old home was washed away during devastating floods. K Bindu, 50, said she would use the money to finish work on her house after her husband sadly died from liver failure when they couldn't afford to pay for his medical treatment. But she will also use some of the cash to fund her daughter's education. Lakshmi, 49, says her family was facing financial ruin when her husband was unable to get any construction work - but now she says her worries are over. Leela, 56, revealed the winnings will be spent on her daughter's much-needed surgery. Despite winning the life-changing amount the lucky ladies say they'll still be coming to work every day. Leela said: ""We decided one thing, we will not leave this job because it was this collective that brought us prosperity."" After tax deductions, the group will receive 6.3 million rupees each while two members will split 6.3 million rupees between them.",https://www.thesun.co.uk/wp-content/uploads/2023/08/taaj1n-lottery-tickets-pen-american-809919729.jpg,We scooped ₹100m Kerala lottery jackpot while earning just ₹200 a day collecting rubbish – but we WON’T quit our jobs,https://www.thesun.co.uk/news/23287526/100m-kerala-lottery-jackpot-collecting-rubbish/
"THIS is the heart-stopping moment panicked parents hurled their children from the windows of a burning apartment block. Quick-thinking locals stood 100ft below on the ground to catch the terrified youngster using sheets in Almaty, Kazakhstan . A raging inferno swept through the 16-storey building after flames engulfed an elevator shaft between the fifth and sixth floors. As smoke and fire spread more than 300 people were evacuated from the block. Nail-biting footage shows an adult holding a tot out of a window and people below frantically run closer to the building gripping a sheet. The toddler is then dropped, plummeting down before being caught in the white cover. Residents then used a mattress to break the fall of an adult leaping from a high up window. Smoke can be seen billowing out of the block in thick plumes and dozens of people watched on in horror. It's understood the emergency stairs could not be used as residents had blocked them. At least 31 people were rushed to hospital - including 16 kids. It's understood there were no fatalities. After arriving at the scene, firefighters brought tall rescue ladders to reach the upper floors of the building, lowering 40 people. The blaze was finally extinguished with the help of 50 firefighters and three ladders. It comes after footage showed the incredible moment a mum saved her four children from certain death by throwing them from the third floor of a burning building. Locals stretched out a blanket as a makeshift safety net to catch the kids as they plummeted from a window of a five-storey apartment block in Istanbul, Turkey . In a startling video filmed from the street below, the mother is seen dropping each child from the window as a cloud of black smoke pours through the opening. Bystanders are heard screaming in terror with some pleading with her not to drop the youngsters from the flat, which was above a parade of shops. One clearly distressed woman is heard crying as the terrifying drama unfolded in the Esenler district, on the city's bustling European side. Each child was carried to an ambulance after they landed on the blanket below.","https://www.thesun.co.uk/wp-content/uploads/2023/08/terrifying-footage-shows-woman-throwing-835506442.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/terrifying-footage-shows-woman-throwing-835506438.jpg,https://www.thesun.co.uk/wp-content/uploads/2023/08/terrifying-footage-shows-woman-jumping-835506439.jpg",Heart-stopping moment parents hurl their kids from 100ft window to escape burning building as heroes catch them below,https://www.thesun.co.uk/news/23288226/heart-stopping-moment-parents-hurl-kids-window-fire/
